date,temperature,humidity,wind_speed,AQI
2025-03-12,18.6,62.0,13.6, 76
2025-03-13,26.65,27.5,20.5, 64
2025-03-14,21.4,52.5,11.9, 88
2025-03-15,18.55,75.0,15.4, 76
2025-03-16,20.75,65.0,10.0, 85
2025-03-17,21.1,45.5,13.0, 94
2025-03-18,20.75,58.5,16.2, 86
2025-03-19,18.35,67.0,23.9, 53
2025-03-20,14.35,57.5,33.5, 41
2025-03-21,13.55,60.5,21.8, 37
2025-03-22,13.3,69.0,11.4, 31
2025-03-23,13.7,59.5,16.4, 42
2025-03-24,15.65,59.0,16.0, 49
2025-03-25,18.05,61.5,16.8, 57
2025-03-26,19.200000000000003,67.0,14.7, 70
2025-03-27,24.4,38.0,11.1, 85
2025-03-28,25.8,51.5,15.7, 90
2025-03-29,18.85,72.5,14.0, 68
2025-03-30,17.15,69.5,14.1, 37
2025-03-31,19.9,49.5,10.1, 46
2025-04-01,25.5,46.0,18.6, 63
2025-04-02,20.25,58.5,13.1, 103
2025-04-03,18.65,51.5,15.8, 108
2025-04-04,17.15,69.0,15.0, 65
2025-04-05,17.700000000000003,72.5,15.6, 32
2025-04-06,21.95,47.0,11.0, 42
2025-04-07,20.5,69.5,18.7, 55
2025-04-08,25.85,44.0,12.6, 62
2025-04-09,20.5,61.5,16.3, 83
2025-04-10,17.549999999999997,57.0,22.0, 37
2025-04-11,16.3,60.0,20.4, 37
2025-04-12,16.7,62.5,22.1, 36
2025-04-13,16.25,63.5,14.4, 36
2025-04-14,15.35,73.0,22.4, 31
2025-04-15,17.9,48.0,23.2, 32
2025-04-16,16.05,59.0,18.6, 50
2025-04-17,20.700000000000003,44.5,22.0, 54
2025-04-18,21.85,36.0,20.0, 88
2025-04-19,20.55,57.0,13.5, 70
2025-04-20,18.75,75.0,13.1, 60
2025-04-21,18.95,70.5,13.2, 52
2025-04-22,25.05,40.5,19.8, 72
2025-04-23,28.05,45.0,25.8, 107
2025-04-24,20.75,77.0,15.6, 81
2025-04-25,20.0,72.0,14.8, 57
2025-04-26,18.9,71.0,14.9, 47
2025-04-27,18.7,70.5,19.3, 53
2025-04-28,19.4,73.5,16.5, 51
2025-04-29,19.45,69.0,13.0, 50
2025-04-30,27.05,44.5,31.3, 53
2025-05-01,20.700000000000003,68.0,14.3, 72
2025-05-02,20.25,59.0,14.9, 51
2025-05-03,19.4,61.5,17.2, 56
2025-05-04,19.15,74.0,15.8, 51
2025-05-05,19.2,77.5,15.6, 37
2025-05-06,19.950000000000003,59.5,15.3, 58
2025-05-07,19.8,62.0,18.6, 54
2025-05-08,20.5,73.5,18.5, 51
2025-05-09,22.45,70.5,17.9, 59
2025-05-10,22.55,69.0,14.9, 64
2025-05-11,23.450000000000003,62.0,15.6, 61
2025-05-12,24.6,50.5,24.7, 79
2025-05-13,23.700000000000003,56.0,13.7, 59
2025-05-14,21.95,71.5,18.3, 51
2025-05-15,21.2,70.5,16.7, 53
2025-05-16,21.35,58.0,16.7, 61
2025-05-17,27.65,44.0,20.7, 66
2025-05-18,24.2,70.0,18.2, 63
2025-05-19,21.8,73.5,14.3, 53
2025-05-20,20.4,71.0,15.7, 40
2025-05-21,20.450000000000003,67.0,15.7, 40
2025-05-22,21.950000000000003,74.0,14.2, 50
2025-05-23,22.9,73.5,16.9, 50
2025-05-24,23.3,71.0,14.7, 
2025-05-25,23.15,73.0,13.7, 58
2025-05-26,25.85,64.5,17.6, 70
2025-05-27,23.15,73.0,18.0, 83
2025-05-28,22.7,61.5,17.7, 58
2025-05-29,22.9,60.5,15.7, 54
2025-05-30,22.6,66.0,12.3, 54
2025-05-31,22.9,55.5,18.3, 46
2025-06-01,23.55,71.5,17.5, 49
